,institution,year,author,title,ENTRYTYPE,ID,file,pages,keywords,journal,urldate,number,language,abstract,doi,url,shorttitle,issn,volume,copyright,type,address,month,publisher,annote,note,pmid,isbn,editor,booktitle,series,link
102,,2013,"Jin, Fang and Dougherty, Edward and Saraf, Parang and Cao, Yang and Ramakrishnan, Naren",Epidemiological modeling of news and rumors on twitter,inproceedings,jin2013epidemiological,,1--9,,,,,,,,,,,,,,,,,,,,,,Proceedings of the 7th workshop on social network mining and analysis,,https://people.cs.vt.edu/ramakris/papers/news-rumor-epi-snakdd13.pdf
103,,2012,"Mohammad, Saif",\# Emotional tweets,inproceedings,mohammad2012emotional,,246--255,,,,,,,,,,,,,,,,,,,,,,"* SEM 2012: The First Joint Conference on Lexical and Computational Semantics--Volume 1: Proceedings of the main conference and the shared task, and Volume 2: Proceedings of the Sixth International Workshop on Semantic Evaluation (SemEval 2012)",,https://en.wikipedia.org/wiki/Backslash
104,,2006,"Bettencourt, Lu{\'\i}s MA and Cintr{\'o}n-Arias, Ariel and Kaiser, David I and Castillo-Ch{\'a}vez, Carlos",The power of a good idea: Quantitative modeling of the spread of ideas from epidemiological models,article,bettencourt2006power,,513--536,,Physica A: Statistical Mechanics and its Applications,,,,,,,,,364,,,,,Elsevier,,,,,,,,http://web.mit.edu/dikaiser/www/BAKC.PhysA.pdf
105,,2014,"Coviello, Lorenzo and Sohn, Yunkyu and Kramer, Adam DI and Marlow, Cameron and Franceschetti, Massimo and Christakis, Nicholas A and Fowler, James H",Detecting emotional contagion in massive social networks,article,coviello2014detecting,,e90315,,PloS one,,3,,,,,,,9,,,,,Public Library of Science,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0090315
106,,2012,"Berger, Jonah and Milkman, Katherine L",What makes online content viral?,article,berger2012makes,,192--205,,Journal of marketing research,,2,,,,,,,49,,,,,"SAGE Publications Sage CA: Los Angeles, CA",,,,,,,,https://journals.sagepub.com/doi/10.1509/jmr.10.0353
107,,2016,"Goel, Sharad and Anderson, Ashton and Hofman, Jake and Watts, Duncan J",The structural virality of online diffusion,article,goel2016structural,,180--196,,Management Science,,1,,,,,,,62,,,,,INFORMS,,,,,,,,http://cs.stanford.edu/~ashton/pubs/twiral.pdf
108,,2016,"Kucharski, Adam J",Modelling the transmission dynamics of online social contagion,article,kucharski2016modelling,,,,arXiv preprint arXiv:1602.00248,,,,,,,,,,,,,,,,,,,,,,https://arxiv.org/abs/1602.00248
109,,2018,"Zannettou, Savvas and Caulfield, Tristan and Blackburn, Jeremy and De Cristofaro, Emiliano and Sirivianos, Michael and Stringhini, Gianluca and Suarez-Tangil, Guillermo",On the origins of memes by means of fringe web communities,inproceedings,zannettou2018origins,,188--202,,,,,,,,,,,,,,,,,,,,,,Proceedings of the Internet Measurement Conference 2018,,https://arxiv.org/abs/1805.12512
110,,2009,"Ginsberg, Jeremy and Mohebbi, Matthew H and Patel, Rajan S and Brammer, Lynnette and Smolinski, Mark S and Brilliant, Larry",Detecting influenza epidemics using search engine query data,article,ginsberg2009detecting,,1012--1014,,Nature,,7232,,,,,,,457,,,,,Nature Publishing Group,,,,,,,,https://research.google.com/archive/papers/detecting-influenza-epidemics.pdf
111,,2013,"Olson, Donald R and Konty, Kevin J and Paladini, Marc and Viboud, Cecile and Simonsen, Lone",Reassessing Google Flu Trends data for detection of seasonal and pandemic influenza: a comparative epidemiological study at three geographic scales,article,olson2013reassessing,,e1003256,,PLoS Comput Biol,,10,,,,,,,9,,,,,Public Library of Science,,,,,,,,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1003256
112,,2014,"Lazer, David and Kennedy, Ryan and King, Gary and Vespignani, Alessandro",The parable of Google Flu: traps in big data analysis,article,lazer2014parable,,1203--1205,,Science,,6176,,,,,,,343,,,,,American Association for the Advancement of Science,,,,,,,,https://gking.harvard.edu/files/gking/files/0314policyforumff.pdf
113,,2014,"Cheng, Justin and Adamic, Lada and Dow, P Alex and Kleinberg, Jon Michael and Leskovec, Jure",Can cascades be predicted?,inproceedings,cheng2014can,,925--936,,,,,,,,,,,,,,,,,,,,,,Proceedings of the 23rd international conference on World wide web,,"https://arxiv.org/abs/1403.4608#:~:text=Observing%20independent%20cascades%20of%20the,which%20ends%20up%20the%20largest."
114,,2016,"Tan, Chenhao and Friggeri, Adrien and Adamic, Lada",Lost in propagation? Unfolding news cycles from the source,inproceedings,tan2016lost,,,,,,,,,,,,,10,,,,,,,,,,,Proceedings of the International AAAI Conference on Web and Social Media,,https://research.fb.com/publications/lost-in-propagation-unfolding-news-cycles-from-the-source/
115,,2007,"Watts, Duncan J and Peretti, Jonah and Frumin, Michael",Viral marketing for the real world,book,watts2007viral,,,,,,,,,,,,,,,,,,Harvard Business School Pub.,,,,,,,,https://hbr.org/2007/05/viral-marketing-for-the-real-world
116,,2011,"Ugander, Johan and Karrer, Brian and Backstrom, Lars and Marlow, Cameron",The anatomy of the facebook social graph,article,ugander2011anatomy,,,,arXiv preprint arXiv:1111.4503,,,,,,,,,,,,,,,,,,,,,,https://arxiv.org/abs/1111.4503
117,,2005,"Brock, William A and Durlauf, Steven N and others",Social interactions and macroeconomics,book,brock2005social,,,,,,,,,,,,,,,,,,"Social Systems Research Institute, University of Wisconsin",,,,,,,,http://home.uchicago.edu/sdurlauf/includes/pdf/Durlauf%20Ioannides%20-%20Social%20Interactions.pdf
118,,2010,"Comin, Diego and Hobijn, Bart",An exploration of technology diffusion,article,comin2010exploration,,2031--59,,American Economic Review,,5,,,,,,,100,,,,,,,,,,,,,https://www.jstor.org/stable/41038754
119,,2004,"Munshi, Kaivan",Social learning in a heterogeneous population: technology diffusion in the Indian Green Revolution,article,munshi2004social,,185--213,,Journal of development Economics,,1,,,,,,,73,,,,,Elsevier,,,,,,,,https://www.researchgate.net/publication/222676428_Social_Learning_in_a_Heterogeneous_Population_Technology_Diffusion_in_the_Indian_Green_Revolution
120,,2009,"Young, H Peyton","Innovation diffusion in heterogeneous populations: Contagion, social influence, and social learning",article,young2009innovation,,1899--1924,,American economic review,,5,,,,,,,99,,,,,,,,,,,,,https://www.aeaweb.org/articles?id=10.1257/aer.99.5.1899
121,,2019,"Enikolopov, Ruben and Petrova, Maria and Zhuravskaya, Ekaterina",Political Effects of the Internet and Social Media,article,enikolopov2019political,,,,,,,,,,,,,,,,,,CEPR Discussion Paper No. DP13996,,,,,,,,https://www.annualreviews.org/doi/abs/10.1146/annurev-economics-081919-050239
122,National Bureau of Economic Research,2018,"B{\'e}nabou, Roland and Falk, Armin and Tirole, Jean","Narratives, imperatives, and moral reasoning",techreport,benabou2018narratives,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.iza.org/dp11665.pdf
123,,2012,"Kramer, Adam DI",The spread of emotion via Facebook,inproceedings,kramer2012spread,,767--770,,,,,,,,,,,,,,,,,,,,,,Proceedings of the SIGCHI conference on human factors in computing systems,,https://research.fb.com/wp-content/uploads/2012/05/the-spread-of-emotion-via-facebook.pdf
124,,2003,"Carroll, Christopher D",Macroeconomic expectations of households and professional forecasters,article,carroll2003macroeconomic,,269--298,,the Quarterly Journal of economics,,1,,,,,,,118,,,,,MIT Press,,,,,,,,http://www.econ2.jhu.edu/people/ccarroll/epidemiologyQJE.pdf
125,,2020,"Carroll, Christopher D and Crawley, Edmund and Slacalek, Jiri and Tokuoka, Kiichi and White, Matthew N",Sticky expectations and consumption dynamics,article,carroll2020sticky,,40--76,,American economic journal: macroeconomics,,3,,,,,,,12,,,,,,,,,,,,,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2152.en.pdf
126,,2009,"Christakis, Nicholas A and Fowler, James H",Social network visualization in epidemiology,article,christakis2009social,,5,,Norsk epidemiologi= Norwegian journal of epidemiology,,1,,,,,,,19,,,,,NIH Public Access,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337680/
127,,2008,"Fowler, James H and Christakis, Nicholas A",Dynamic spread of happiness in a large social network: longitudinal analysis over 20 years in the Framingham Heart Study,article,fowler2008dynamic,,,,Bmj,,,,,,,,,337,,,,,British Medical Journal Publishing Group,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/19056788/
128,,2014,"Kramer, Adam DI and Guillory, Jamie E and Hancock, Jeffrey T",Experimental evidence of massive-scale emotional contagion through social networks,article,kramer2014experimental,,8788--8790,,Proceedings of the National Academy of Sciences,,24,,,,,,,111,,,,,National Acad Sciences,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4066473/
129,,2014,"Berkman, Lisa F and Kawachi, Ichir{\=o} and Glymour, M Maria",Social epidemiology,book,berkman2014social,,,,,,,,,,,,,,,,,,Oxford University Press,,,,,,,,https://www.uji.es/upo/rest/publicacion/idioma/en?urlRedirect=https://www.uji.es/departaments/com/base/estructura/personal/&url=/departaments/com/base/estructura/personal/&p_departamento=2943&p_profesor=420826
130,,2017,"Brauer, Fred","Mathematical epidemiology: Past, present, and future",article,brauer2017mathematical,,113--127,,Infectious Disease Modelling,,2,,,,,,,2,,,,,Elsevier,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6001967/
131,,2005,"Keeling, Matt J and Eames, Ken TD",Networks and epidemic models,article,keeling2005networks,,295--307,,Journal of the Royal Society Interface,,4,,,,,,,2,,,,,The Royal Society London,,,,,,,,https://royalsocietypublishing.org/doi/10.1098/rsif.2005.0051
132,,2012,"Iyer, Rajkamal and Puri, Manju",Understanding bank runs: The importance of depositor-bank relationships and networks,article,iyer2012understanding,,1414--45,,American Economic Review,,4,,,,,,,102,,,,,,,,,,,,,https://www.aeaweb.org/articles?id=10.1257/aer.102.4.1414
133,,2014,"Kiss, Hubert Janos and Rodriguez-Lara, Ismael and Rosa-Garc{\'\i}a, Alfonso",Do social networks prevent or promote bank runs?,article,kiss2014social,,87--99,,Journal of Economic Behavior \& Organization,,,,,,,,,101,,,,,Elsevier,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0167268114000341
134,,2018,"Shakina, Ekaterina and Angerer, Martin",Coordination and communication during bank runs,article,shakina2018coordination,,115--130,,Journal of Behavioral and Experimental Finance,,,,,,,,,20,,,,,Elsevier,,,,,,,,https://ideas.repec.org/a/eee/beexfi/v20y2018icp115-130.html
135,,2017,"Dijk, Oege",Bank run psychology,article,dijk2017bank,,87--96,,Journal of Economic Behavior \& Organization,,,,,,,,,144,,,,,Elsevier,,,,,,,,https://fr.wikipedia.org/wiki/Panique_bancaire
136,,2016,"Greve, Henrich R and Kim, Ji-Yub and Teh, Daphne",Ripples of fear: The diffusion of a bank panic,article,greve2016ripples,,396--420,,American Sociological Review,,2,,,,,,,81,,,,,"SAGE Publications Sage CA: Los Angeles, CA",,,,,,,,https://journals.sagepub.com/doi/abs/10.1177/0003122416629611
137,,2000,"Kelly, Morgan and O Grada, Cormac",Market Contagion: Evidence from the Panics of 1854 and 1857,article,kelly2000market,,1110--1124,,American Economic Review,,5,,,,,,,90,,,,,,,,,,,,,https://www.aeaweb.org/articles?id=10.1257/aer.90.5.1110
138,,1997,"Kamins, Michael A and Folkes, Valerie S and Perner, Lars","Consumer responses to rumors: Good news, bad news",article,kamins1997consumer,,165--187,,Journal of consumer psychology,,2,,,,,,,6,,,,,Elsevier,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1207/s15327663jcp0602_03
139,,1989,"Shiller, Robert J and Pound, John",Survey evidence on diffusion of interest and information among investors,article,shiller1989survey,,47--66,,Journal of Economic Behavior \& Organization,,1,,,,,,,12,,,,,Elsevier,,,,,,,,https://econpapers.repec.org/RePEc:eee:jeborg:v:12:y:1989:i:1:p:47-66
140,,2005,"Hong, Harrison and Kubik, Jeffrey D and Stein, Jeremy C",Thy neighbor's portfolio: Word-of-mouth effects in the holdings and trades of money managers,article,hong2005thy,,2801--2824,,The Journal of Finance,,6,,,,,,,60,,,,,Wiley Online Library,,,,,,,,http://www.columbia.edu/~hh2679/ThyNeighborJF.pdf
141,,2008,"Cohen, Lauren and Frazzini, Andrea and Malloy, Christopher",The small world of investing: Board connections and mutual fund returns,article,cohen2008small,,951--979,,Journal of Political Economy,,5,,,,,,,116,,,,,The University of Chicago Press,,,,,,,,https://www.jstor.org/stable/10.1086/592415
142,,1995,"Shiller, Robert J","Conversation, information, and herd behavior",article,shiller1995conversation,,181--185,,The American economic review,,2,,,,,,,85,,,,,JSTOR,,,,,,,,https://www.jstor.org/stable/2117915
143,,2013,"Banerjee, Abhijit and Chandrasekhar, Arun G and Duflo, Esther and Jackson, Matthew O",The diffusion of microfinance,article,banerjee2013diffusion,,,,Science,,6144,,,,,,,341,,,,,American Association for the Advancement of Science,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/23888042/
144,,2010,"Hill, Alison L and Rand, David G and Nowak, Martin A and Christakis, Nicholas A",Emotions as infectious diseases in a large social network: the SISa model,article,hill2010emotions,,3827--3835,,Proceedings of the Royal Society B: Biological Sciences,,1701,,,,,,,277,,,,,The Royal Society,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/20610424/
145,,2010,"Shive, Sophie",An epidemic model of investor behavior,article,shive2010epidemic,,169--198,,Journal of Financial and Quantitative Analysis,,,,,,,,,,,,,,JSTOR,,,,,,,,https://www.jstor.org/stable/27801478
146,,2017,"Ahern, Kenneth R",Information networks: Evidence from illegal insider trading tips,article,ahern2017information,,26--47,,Journal of Financial Economics,,1,,,,,,,125,,,,,Elsevier,,,,,,,,https://files.fisher.osu.edu/department-finance/public/information_networks_evidence_from_illegal_insider_trading_tips.pdf
147,,2016,"Akerlof, George A and Snower, Dennis J",Bread and bullets,article,akerlof2016bread,,58--71,,Journal of Economic Behavior \& Organization,,,,,,,,,126,,,,,Elsevier,,,,,,,,https://www.amazon.com/Bread-Bullets-Rosario-Liotta-Story-ebook/dp/B07QX8P1H2
148,,2021,"Bayer, Patrick and Mangum, Kyle and Roberts, James W",Speculative fever: Investor contagion in the housing bubble,article,bayer2021speculative,,609--51,,American Economic Review,,2,,,,,,,111,,,,,,,,,,,,,https://www.aeaweb.org/articles?id=10.1257/aer.20171611&from=f
149,National Bureau of Economic Research,2020,"Shiller, Robert J",Popular economic narratives advancing the longest US economic expansion 2009-2019,techreport,shiller2020popular,,,,,,,,,,,,,,,,,,,,,,,,,,https://cowles.yale.edu/sites/default/files/files/pub/d22/d2223.pdf
150,,2012,"Hu, Mengdie and Liu, Shixia and Wei, Furu and Wu, Yingcai and Stasko, John and Ma, Kwan-Liu",Breaking news on twitter,inproceedings,hu2012breaking,,2751--2754,,,,,,,,,,,,,,,,,,,,,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,https://twitter.com/marketcurrents/status/1334262994323132416
151,,2017,"Shiller, Robert J",Narrative economics,article,shiller2017narrative,,967--1004,,American Economic Review,,4,,,,,,,107,,,,,,,,,,,,,https://www.amazon.in/Narrative-Economics-Stories-Economic-Events-ebook/dp/B07RRDVTHY
152,,1975,"Bailey, Norman TJ and others",The mathematical theory of infectious diseases and its applications,book,bailey1975mathematical,,,,,,,,,,,,,,,,,,"Charles Griffin \& Company Ltd, 5a Crendon Street, High Wycombe, Bucks HP13 6LE.",,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3710332/
153,,1965,"Daley, Daryl J and Kendall, David G",Stochastic rumours,article,daley1965stochastic,,42--55,,IMA Journal of Applied Mathematics,,1,,,,,,,1,,,,,Oxford University Press,,,,,,,,https://www.shadowgate.org/git/shadowgate/shadowgate/src/commit/efe2c6e2d53c9337bfc58fe071453bccad61dd6b/daemon/rumours_d.c
154,,2010,"Acemoglu, Daron and Ozdaglar, Asuman and ParandehGheibi, Ali",Spread of (mis) information in social networks,article,acemoglu2010spread,,194--227,,Games and Economic Behavior,,2,,,,,,,70,,,,,Elsevier,,,,,,,,https://www.kdd.org/exploration_files/8._CR.10.Misinformation_in_social_media_-_Final.pdf
155,,2010,"Akerlof, George A and Shiller, Robert J","Animal spirits: How human psychology drives the economy, and why it matters for global capitalism",book,akerlof2010animal,,,,,,,,,,,,,,,,,,Princeton university press,,,,,,,,https://www.amazon.fr/Animal-Spirits-Psychology-Economy-Capitalism/dp/069114592X
